archivo;tramo;inicio_um;fin_um;pendiente
Dmic_int_27944_Aug22_03_1_TodosPerfiles_mean;Tramo_3;1053.332264;2150;0.0042682
Dmic_int_29896_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;1656.670657;0.00067004
Dmic_int_29896_Aug22_03_1_TodosPerfiles_mean;Tramo_2;1656.670657;1671.757458;-0.30769
Dmic_int_29896_Aug22_03_1_TodosPerfiles_mean;Tramo_3;1671.757458;2996.67;0.0027387
Dmic_int_29900_Aug22_04_1_TodosPerfiles_mean;Tramo_1;0;226.2380413;-0.061907
Dmic_int_29900_Aug22_04_1_TodosPerfiles_mean;Tramo_2;226.2380413;983.3310858;-0.0087728
Dmic_int_29900_Aug22_04_1_TodosPerfiles_mean;Tramo_3;983.3310858;2996.67;-0.0037598
Dmic_int_31492_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;2082.603483;-0.029723
Dmic_int_31492_Aug22_03_1_TodosPerfiles_mean;Tramo_2;2082.603483;2416.844368;0.058883
Dmic_int_31492_Aug22_03_1_TodosPerfiles_mean;Tramo_3;2416.844368;2996.67;-0.020651
Dmic_int_32001_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;1023.330113;0.0035614
Dmic_int_32001_Aug22_03_1_TodosPerfiles_mean;Tramo_2;1023.330113;1707.193729;-0.0179
Dmic_int_32001_Aug22_03_1_TodosPerfiles_mean;Tramo_3;1707.193729;2996.67;-0.0028904
Dmic_int_37967_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;860.2592517;-0.0091961
Dmic_int_37967_Aug22_03_1_TodosPerfiles_mean;Tramo_2;860.2592517;943.8377382;-0.10548
Dmic_int_37967_Aug22_03_1_TodosPerfiles_mean;Tramo_3;943.8377382;2116.67;0.0041277
