archivo;tramo;inicio_um;fin_um;pendiente
Oacu_interior_75271_Aug22_03_1_TodosPerfiles_mean;Tramo_3;1086.670224;2996.67;-0.0064536
Oacu_interior_75272_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;393.4534916;0.0077431
Oacu_interior_75272_Aug22_03_1_TodosPerfiles_mean;Tramo_2;393.4534916;1109.999566;-0.01195
Oacu_interior_75272_Aug22_03_1_TodosPerfiles_mean;Tramo_3;1109.999566;2996.67;0.00013795
Oacu_interior_75273_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;2052.251813;-0.00080046
Oacu_interior_75273_Aug22_03_1_TodosPerfiles_mean;Tramo_2;2052.251813;2075.555924;-0.51211
Oacu_interior_75273_Aug22_03_1_TodosPerfiles_mean;Tramo_3;2075.555924;2496.67;0.026089
Oacu_interior_75274_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;568.4679107;0.0063237
Oacu_interior_75274_Aug22_03_1_TodosPerfiles_mean;Tramo_2;568.4679107;1037.490749;-0.031452
Oacu_interior_75274_Aug22_03_1_TodosPerfiles_mean;Tramo_3;1037.490749;2996.67;0.0023556
Oacu_interior_75275_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;739.4229607;2.92E-05
Oacu_interior_75275_Aug22_03_1_TodosPerfiles_mean;Tramo_2;739.4229607;875.4415351;-0.090806
Oacu_interior_75275_Aug22_03_1_TodosPerfiles_mean;Tramo_3;875.4415351;2996.67;0.0021736
