 ,Area,Mean,Min,Max,Angle,Length
1,194.512420968,240.260371607,197.500000000,254.000000000,178.408859729,289.654950572
2,194.512420968,240.260371607,197.500000000,254.000000000,178.408859729,289.654950572
3,191.817098738,239.877901564,194.258224487,254.000000000,-178.386461067,285.635088736
4,183.281911674,243.798086466,201.312377930,254.000000000,176.335815679,272.674461894
5,198.106183942,247.318724790,213.460617065,254.545455933,177.917434720,295.100092149
6,209.336693236,242.873218487,193.396408081,254.468032837,176.546683749,311.556636790
7,208.438252492,240.914098740,189.553436279,254.397918701,177.273689006,310.001315623
8,249.766526693,237.184736156,193.413238525,252.431594849,175.870286939,372.279024672
9,234.942254426,231.465718198,173.647506714,254.000000000,-178.683087594,349.957213827
10,230.899271080,245.723757109,199.333007812,254.000000000,177.092945822,343.604566477
11,231.348491452,244.365128986,193.298797607,254.774322510,-175.310455623,344.315044498
12,226.856287734,242.709518553,188.962966919,254.857147217,179.090619551,337.843028720
13,225.508626619,243.234175238,198.714294434,254.900787354,175.653875645,336.085952034
14,198.555404314,230.095318065,185.680694580,253.725112915,175.322582141,295.890610822
15,166.660757920,223.270275106,184.500900269,251.513504028,179.070960681,248.021049159
16,176.543606098,233.772108821,190.848464966,253.000000000,174.143986415,262.764478456
17,163.066994945,247.628027546,188.965011597,254.294647217,179.050433144,242.659857267
18,163.066994945,248.906264628,207.000000000,254.966857910,179.050433144,242.659857267
19,170.703741265,242.961282308,200.107025146,254.070526123,173.025070484,253.888813427
20,175.195944983,247.475518368,215.537643433,254.502578735,173.204055984,260.542873278
21,190.469437622,232.859151444,188.938430786,255.000000000,175.663595214,283.652890596
22,183.281911674,238.252759634,202.122238159,255.000000000,175.493393116,272.960969478
23,196.309302455,242.162345205,193.466354370,255.000000000,178.686106976,292.301073938
24,190.918657994,246.447110560,186.949691772,255.000000000,178.378854086,284.295144674
25,191.817098738,239.101281588,183.474166870,255.000000000,-179.731007706,285.524978006
26,192.715539481,224.127591255,161.878494263,254.640182495,-179.732264661,286.865441384
27,188.223335764,225.661367958,163.406692505,255.000000000,-179.451731764,280.172746283
28,193.613980225,241.157315708,185.334884644,255.000000000,179.733509924,288.205904898
29,208.887472864,244.050487920,187.560333252,255.000000000,-178.518542829,311.094900135
30,213.379676582,242.443407625,193.285522461,253.611816406,-179.758247091,317.696133318
31,219.668761786,239.989389338,188.419387817,255.000000000,179.295579189,327.101372885
32,221.914863645,243.676129113,192.792251587,254.000000000,175.815083875,330.639183506
33,214.278117325,237.985213306,131.196075439,254.504196167,-178.555874469,319.135147991
34,208.887472864,240.288097488,186.267242432,255.000000000,178.518542829,311.094900135
35,207.989032121,227.345992844,190.727279663,251.597396851,-179.751967872,309.653338282
36,209.785913608,230.206618282,184.762512207,253.000000000,179.754096877,312.334269540
37,216.074998812,239.350490864,175.688888550,254.000000000,-179.522546223,321.725910019
38,189.570996879,245.628497915,198.299209595,254.000000000,176.729512077,281.959615035
39,182.832691303,249.678951516,193.000000000,254.000000000,180.000000000,272.117050546
40,175.645165355,250.937958583,202.625640869,255.000000000,-178.824866763,261.448214083
41,177.442046842,249.143888063,200.455154419,255.000000000,179.418336942,264.087790621
42,166.660757920,250.266982045,203.780181885,255.000000000,-179.690296100,247.992067966
43,170.254520894,243.817593013,194.777786255,255.000000000,178.181697036,253.477989835
44,163.066994945,241.080817903,190.082870483,255.000000000,177.469236982,242.863407723
45,164.863876433,224.555411814,175.715850830,254.693984985,179.060809054,245.340449277
46,160.371672715,228.940703790,150.415725708,254.928833008,-179.034432213,238.638984593
47,169.356080150,228.946300436,181.519500732,253.771270752,179.695238090,252.013444400
48,162.168554202,230.835703039,185.222213745,255.000000000,-178.090847567,241.420065265
49,163.066994945,239.083897404,167.281768799,255.000000000,177.469236982,242.863407723
50,160.820893087,242.080486148,164.333328247,255.000000000,176.143199014,239.146699681
51,161.270113458,235.626009248,178.757904053,255.000000000,-179.359850330,239.960553531
52,156.777909741,227.767568113,169.647506714,251.471267700,179.670717536,233.247038099
53,159.473231971,229.806174695,168.489639282,254.531066895,179.676298475,237.268407058
54,170.254520894,235.897976918,188.000000000,254.000000000,180.000000000,253.350357405
55,182.832691303,241.003352547,195.724136353,254.349746704,178.589059180,272.199579785
56,191.817098738,238.645556269,191.812210083,254.000000000,178.924149379,285.572173518
57,205.293709890,238.610503149,185.333328247,255.000000000,180.000000000,305.629002584
58,204.395269147,226.355443397,178.933914185,252.669601440,179.747597318,304.291477083
59,201.699946916,237.866508943,192.833328247,253.000000000,178.210089392,300.413669271
60,209.785913608,233.320344227,191.711013794,254.922744751,-178.524898199,312.434932076
