 ,Area,Mean,Min,Max,Angle,Length
1,159.494994832,234.237483335,153.666671753,253.000000000,-172.874983651,237.442187817
2,187.272213033,228.044307800,160.887954712,253.917449951,-171.442034877,278.874227435
3,157.254896590,223.629296827,82.490882874,253.000000000,-171.777186109,233.998225099
4,135.749953467,232.575340145,194.115509033,253.000000000,-171.224944256,201.826525593
5,137.990051709,225.110109998,155.708923340,252.083938599,-176.260496637,205.255878497
6,134.853914170,241.715465558,206.379730225,252.093338013,-173.870919235,200.610839630
7,143.366287490,228.371947479,94.382743835,253.383834839,-172.429111099,213.372342798
8,156.358857293,228.394891165,188.387496948,253.061035156,-174.059962748,232.842766031
9,221.321706312,226.193594017,108.027046204,253.000000000,-173.942304205,329.819591158
10,225.353883148,235.247526377,192.681365967,253.000000000,-172.450578232,336.247287679
11,206.985077563,235.874468122,154.996353149,253.000000000,-173.769675386,308.380353864
12,176.071721823,228.078377605,126.302825928,253.000000000,-174.726104043,262.153432148
13,155.014798348,227.579186280,176.113769531,249.922378540,-176.009086902,230.813588056
14,157.254896590,228.196011839,178.333328247,252.000000000,-178.363422958,234.365545451
15,148.294503622,228.109768409,107.333335876,252.000000000,180.000000000,220.883090596
16,153.670739403,236.784392599,164.438598633,254.000000000,-178.994913995,228.950428834
17,176.071721823,232.071835312,144.054412842,253.602050781,-178.538689909,262.467699379
18,246.410806623,230.767741450,184.417541504,253.864105225,-177.492298273,367.151401757
19,243.274669084,230.034530864,187.683883667,253.333328247,-177.675617029,363.082477550
20,251.787042404,225.812165895,103.947174072,253.875656128,-177.341747765,375.235689963
21,232.074177874,229.275905963,110.743179321,254.000000000,-177.336999234,345.754217362
22,204.296959673,233.978969909,149.836578369,254.553070068,-176.219431466,304.544307998
23,209.225175805,236.039509089,210.384841919,254.000000000,-178.524898199,312.017098247
24,210.121215102,228.301350120,154.333328247,254.000000000,180.000000000,313.252383027
25,168.903407449,237.830436120,187.709213257,254.214538574,-178.476535208,251.761847343
26,211.017254399,235.420110779,118.000000000,254.000000000,-179.024846857,314.636637393
27,190.408350572,230.588671516,99.641510010,254.000000000,-179.459489813,283.813933108
28,176.071721823,230.370531815,115.428573608,254.964279175,-177.954591511,262.549620269
29,160.839053777,227.414881162,138.921783447,254.000000000,-179.359850330,239.639643074
30,124.997481905,233.456039265,141.455627441,251.323730469,-178.763592397,186.120603950
31,136.645992764,224.775956201,87.666664124,253.000000000,180.000000000,203.480180428
32,176.519741472,232.102047257,178.859939575,252.260025024,-176.787790240,262.795229718
33,211.913293696,233.586537658,125.536727905,253.000000000,179.757222726,315.932590008
34,221.769725961,222.230774820,176.738189697,249.885284424,179.768034549,330.658003074
35,221.321706312,223.971203978,138.650939941,253.000000000,177.207297634,329.708185353
36,227.145961741,233.407982565,121.938072205,253.006591797,-179.547078371,338.697987909
37,227.145961741,237.308196450,137.328063965,253.525695801,177.962669303,338.901633317
38,291.660791112,235.531863352,185.811279297,253.000000000,-178.942351911,435.146890464
39,247.754865568,237.135617137,148.568832397,253.590591431,-179.792407504,369.479594871
40,235.210315413,238.219808408,185.211196899,253.229003906,-178.688112217,350.827532856
41,222.665765257,237.101095741,198.000000000,254.000000000,-177.460319550,332.320392591
42,197.576664947,236.635872181,211.606063843,254.918182373,-178.177567312,294.659830622
43,209.673195454,240.417252598,216.653945923,254.036407471,-176.316513611,312.559390281
44,168.007368152,236.481435588,217.707656860,254.000000000,-177.550337380,250.563144477
45,180.999937956,231.344358916,123.325439453,255.000000000,-175.448738727,269.926914888
46,155.014798348,235.495599736,174.249710083,253.133041382,-175.677722941,230.910619929
47,134.853914170,228.149593721,183.162811279,253.333328247,-171.166585349,200.503613660
48,212.809332992,238.801666983,110.300979614,253.655426025,-178.308211432,317.406796361
49,202.952900728,244.150455365,164.008850098,254.858413696,-177.972677299,302.732388881
50,195.784586353,231.025136498,167.223236084,254.743118286,-179.474365394,291.845697925
51,172.487564636,228.956963497,109.341148376,253.029510498,-174.913778290,256.699688133
52,183.240036198,235.058407996,214.156860352,254.457519531,-177.193629748,273.419733398
53,232.522197522,235.992317141,109.297294617,254.359069824,-178.894041248,346.784120316
54,231.626158226,235.709819742,189.645996094,253.798446655,179.555855567,345.391209819
55,195.784586353,217.142957901,99.347099304,255.000000000,-178.686106976,291.910166058
56,265.675651504,233.537107085,95.162162781,255.000000000,-179.225779835,396.287056710
57,292.556830409,242.412809387,176.130874634,255.000000000,178.243011690,436.616711172
58,229.834079632,217.743462010,99.994789124,254.000000000,179.104826290,342.745293139
59,166.215289558,228.173939399,84.437835693,254.834228516,177.523887326,247.888246790
60,258.507337130,236.352186788,147.805557251,255.000000000,179.403190549,385.562310887
